,actividad,categoria,cancelacio_gratuita,puntuacion,opiniones,duracion,idioma,precio
0,Crucero panorámico por el río Sena,Paseos en barco,Si,"9,3/10",155,1 hora,Español,16.0
1,Autobús turístico de París Open Tour con paradas libres,Tours en Bus turístico,Si,"9,8/10",699,flexible,Español,43.55
2,Free tour París imprescindible,Tours a pie,Si,"9,7/10",233,2 horas 30 minutos,Español,0.0
3,Torre Eiffel sin colas y crucero por el río Sena,Entradas y Atracciones,Si,"9,7/10",839,3 horas  (aprox.),,74.15
4,Disneyland® Paris – Entradas de un día sin fecha,Entradas y Atracciones,No,"9,7/10",122,1 dia o 2 dias,,110.3
5,Visita guiada al Museo del Louvre con Acceso prioritario,Visitas Guiadas,Si,"9,3/10",675,2 horas 30 minutos,Español,74.1
6,Free Tour Montmartre y Sagrado Corazón,Tours a pie,Si,"9,5/10",291,2 horas 30 minutos,Español,0.0
7,"Visita Guiada París panorámico, Torre Eiffel con acceso reservado y crucero por el Sena",Visitas Guiadas,Si,"9,9/10",2425,5 horas,Español,97.0
8,"Autobús turístico de París, Big Bus",Tours en Bus turístico,Si,"9,8/10",987,Flexible,Español,40.1
9,Excursión al Palacio de Versalles y Visita Guiadas Sin Colas,Excursiones de un día,Si,"9,8/10",989,4 horas  (aprox.),Español,93.5
10,Free Tour Torre Eiffel y Arco del Triunfo,Tours a pie,Si,"9,7/10",344,2 horas,Español,0.0
11,Acceso prioritario y entrada 3a Planta de la Torre Eiffel con audioguía,Entradas y Atracciones,Si,"9,5/10",723,2 horas aprox.,,78.25
12,Tour nocturno de París iluminado en español +crucero por el Sena,Visitas Guiadas,Si,"9,3/10",669,2 horas,Español,11.9
13,Free Tour Leyendas y Misterios de París,Tours a pie,Si,"9,4/10",128,2 horas aprox.,Español,0.0
14,Crucero con Cena Romántica por el Sena,Museos y Monumentos,Si,"9,3/10",155,2 horas 30 minutos,,114.15
15,Crucero por el Sena y espectáculo en el Moulin Rouge,Espectáculos,Si,"9,3/10",728,5 horas  (aprox.),,173.05
16,Excursión a Disenyland Paris,Entradas y Atracciones,Si,"9,1/10",239,,Entrada,175.0
17,Crucero por el río Sena con comida y música en vivo,Paseos en barco,Si,"9,1/10",655,2 horas,,77.3
18,"Tour Panoramico por París, almuerzo en la Torre Eiffel con acceso prioritario y crucero por el Sena",Tours en Bus turístico,Si,"9,3/10",445,5 horas 30 minutos,Español,175.9
19,Excursión de un día a Versalles en tren con entrada al palacio y los jardines,Excursiones de un día,Si,"9,7/10",188,6 horas 30 minutos,Español,51.25
20,Free Tour Barrio Latino de París,Tours a pie,No,"9,7/10",108,2 horas,Español,0.0
21,Excursión al Mont Saint-Michel desde París,Excursiones de un día,Si,"10,0/10",766,14 horas,Español,163.15
22,Visita de un día a Brujas desde París,Excursiones de un día,Si,"9,3/10",790,14 horas,Español,161.0
23,Crimenes y misterios del Museo del Louvre,Museos y Monumentos,Si,"9,6/10",2445,2 horas,Español,133.8
24,Visita guiada a Giverny y la casa de Monet,Excursiones de un día,Si,"9,7/10",881,5 horas,,80.85
25,Visita privada al Palacio y la Opera Garnier,Tours a pie,Si,"9,7/10",799,2 horas,Español,124.0
26,Excursión a los castillos del valle del Loira desde París,Excursiones de un día,Si,"9,7/10",344,12 horas 30 minutos,Español,185.0
27,Entrada a la Torre de Montparnasse,Entradas y Atracciones,Si,"9,3/10",398,24 horas,Entrada,22.0
28,Excursión a la región de Champagne y viñedos locales de Reims,Excursiones de un día,Si,"9,6/10",853,10 horas  30 minutos (aprox.),,168.0
29,Traslados desde Aeropuertos de París,Traslados Aeropuertos,Si,,) Opiniones,24 horas,,50.0
30,Paris Museum Pass – Acceso a más de 50 museos y monumentos,Pases turísticos,Si,"9,8/10",1830,Flexible,Entrada,64.3
31,Crucero turístico con paradas libres por el río Sena: Batobús,Paseos en barco,Si,"9,8/10",1003,flexible,Entrada,25.1
32,Visita al Estadio de Francia entre bastidores,Entradas y Atracciones,Si,"9,5/10",232,90 minutos  (aprox.),Entrada,15.0
33,Le Bistro Parisien: experiencia gastronómica panorámica,Experiencias Gastronómicas,Si,"9,5/10",223,flexible,,40.5
34,Entrada al museo de Orsay con audioguia,Entradas y Atracciones,No,"9,8/10",459,flexible,Español,28.75
35,Entradas al parque temático Parc Astérix,Entradas y Atracciones,Si,"9,3/10",188,11 horas  (aprox.),Entrada,53.6
36,Hard Rock Cafe Paris – acceso prioritario,Experiencias Gastronómicas,No,"9,3/10",457,flexible,,27.25
37,Visita guiada por las Galerías Printemps Haussmann: secretos entre bastidores,Visitas Guiadas,Si,"9,1/10",133,90 minutos  (aprox.),,14.4
38,Tour en bicicleta por París,Tours en Bicicleta,Si,"9,5/10",409,3 horas,,41.6
39,Entradas a Disneyland Paris,Entradas y Atracciones,No,"9,3/10",359,12 horas,Entrada,89.0
40,Cena y espectáculo en el Paradis Latin de París,Espectáculos,Si,"9,5/10",474,flexible,Entrada,89.35
41,París esencial desde Disneyland® Paris con crucero por el Sena,Excursiones de un día,Si,"9,5/10",344,10 horas,,80.95
42,"Cena crucero en La Marina, visita a la Torre Eiffel y espectáculo en el Moulin Rouge",Visitas Guiadas,No,"9,7/10",2464,5 horas,,295.0
43,Excursión a los palacios de Vaux Le Vicomte y Fontainebleau,Excursiones de un día,Si,"9,7/10",133,9 horas,Español,102.55
44,"Tour de 2 días por Normandía, Saint-Malo y el Monte Saint Michel",Excursiones de varios días,No,"9,0/10",130,2 días  (aprox.),Español,540.46
45,Tour de luces navideñas de París de noche,Tours en Bus turístico,Si,"9,8/10",122,1 hora 30 minutos  (aprox.),Español,43.05
46,Tour de 2 días por los valles y castillos del Valle del Loira,Excursiones de varios días,Si,,,2 días,Español,990.0
47,Excursión de 2 días por el Monte Saint Michel y los castillos del Loira desde París,Excursiones de varios días,No,"9,0/10",22,2 días,Español,409.0
48,Visita con audioguia a Giverny y la casa de Monet,Excursiones de un día,Si,"9,5/10",233,5 horas,Español,79.9
49,Espectáculo en el Cabaré Lido de París con champagne incluido,Espectáculos,Si,"9,5/10",474,1 hora 30 minutos,Entrada,85.0
50,Tour a Londres desde París en Eurostar: bús con paradas libres y crucero por el río,Excursiones de varios días,No,"9,4/10",354,16 horas  (aprox.),,384.0
51,Tour de París en Segway,Visitas Guiadas,Si,"9,1/10",1169,Flexible,Español,59.0
52,Excursión de 3 días a Normandía y Valle del Loira desde París,Excursiones de varios días,Si,"9,2/10",50,3 días,Español,819.52
53,Excursión de 3 días por el Monte Saint Michel y los castillos del Loira desde París,Excursiones de varios días,Si,"9,5/10",80,3 días  (aprox.),Español,819.52
54,Excursión a Bruselas por libre,Excursiones de un día,No,"9,3/10",45,15 horas,,129.0
55,Recorrido en helicóptero hasta Versalles desde París,Tours aéreos,Si,"9,5/10",41,1 hora 30 minutos,,410.0
56,Tour Montmartre y Sagrado Corazón con audioguia,Tours a pie,Si,"9,5/10",299,2 horas,Español,10.0
