,actividad,categoria,cancelacio_gratuita,puntuacion,opiniones,duracion,idioma,precio
0,Visita guiada Vaticano y la Capilla Sixtina  sin colas,Museos y Monumentos,Si,"9,4/10",1215,3 horas,Español,113.35
1,Excursión a Pompeya desde Roma con acceso prioritario,Excursiones de un día,Si,"9,8/10",254,13:30 horas aprox,Español,124.5
2,"Descubre el Coliseo, el monte Palatino y el Foro Romano con acceso prioritario",Tours a pie,Si,"9,7/10",255,2 horas 30 minutos,Español,50.65
3,Descubre Museos Vaticanos y la Capilla Sixtina – Acceso prioritario,Visitas Guiadas,Si,"9,8/10",443,3 horas aprox.,Español,83.0
4,"Tour a pie por el Coliseo, el Foro Romano y el Monte Palatino – Acceso prioritario",Tours a pie,Si,"9,6/10",1352,3 horas  aprox.,Español,58.9
5,"Museos Vaticanos, Capilla Sixtina, grupos pequeños, recogida en el hotel opcional",Museos y Monumentos,No,"9,7/10",367,3 horas,Español,137.55
6,"Tour panorámico en bús + Vaticano, Capilla Sixtina, Coliseo, Foros y Palatino",Visitas Guiadas,Si,"9,3/10",234,flexible,Español,115.0
7,"La ciudad de Pompeya y sus ruinas desde Roma, con recogida en el Hotel",Excursiones de un día,Si,"9,7/10",597,13 horas aprox.,Español,151.6
8,Free tour por los Monumentos Imprescindibles de Roma,Free Tours,Si,"9,7/10",233,2 horas 30 minutos aprox.,Español,0.0
9,Free tour Nocturno por Roma,Free Tours,Si,"9,7/10",277,,Español,0.0
10,Tour en bus por los Jardines Vaticanos y entradas a los Museos Vaticanos y la Capilla Sixtina,Visitas Guiadas,Si,"9,3/10",234,3 horas,Español,72.25
11,"Tour privado Museos Vaticanos + Coliseo, Foro y Palatino. Acceso prioritario",Visitas Guiadas,Si,"9,8/10",655,8 horas,,238.9
12,Crucero por el río Tíber con aperitivo,Paseos en barco,Si,"9,3/10",274,1 hora 30 minutos,,45.15
13,"Excursión de medio día a Tivoli, villa de Adriano y Villa d’Este",Excursiones de un día,Si,"9,5/10",897,4 horas,Español,90.3
14,Autobús turístico en Roma,Tours en Bus turístico,Si,"9,7/10",456,Flexible,Español,28.0
15,Tour nocturno a pie por la Roma iluminada,Tours a pie,Si,"9,0/10",522,3 horas,Español,39.0
16,Excursión para grupos pequeños a Asís y Orvieto desde Roma,Excursiones de un día,Si,"9,1/10",234,10 horas,Español,289.15
17,Crucero por el río con paradas libres,Paseos en barco,Si,"9,0/10",737,1 día  (aprox.),Español,17.15
18,Excursión a la Isla de Capri en tren de Alta Velocidad desde Roma,Excursiones de un día,Si,"9,5/10",1294,9 horas,Español,310.1
19,Traslado privado desde Aeropuertos de Roma,Traslados Aeropuertos,No,,) Opiniones,24 horas,,48.0
20,Visita guiada a pie por la Roma clásica,Visitas Guiadas,Si,"9,7/10",234,3 horas,Español,47.0
21,Basílicas romanas y secretos de las catacumbas,Visitas Guiadas,Si,"9,5/10",667,3 horas,Español,99.25
22,Audiencia papal con Papa Francisco con breve recorrido por la ciudad del Vaticano,Visitas Guiadas,Si,"9,6/10",621,5 horas,Español,29.0
23,Excursión  de un día a Venecia desde Roma en tren de alta velocidad,Excursiones de un día,Si,"9,7/10",55,15 horas,Español,268.0
24,"Florencia, cuna del Renacimiento y Pisa, en grupo pequeño",Excursiones de un día,No,"9,2/10",191,12 horas,Español,299.25
25,"Omnia Vatican y Roma Pass, incluido recorrido en autobús con paradas libres",Pases turísticos,No,"9,1/10",887,Flexible,Entrada,150.1
26,Excursión a Positano y la costa de Amalfi desde Roma,Excursiones de un día,Si,"9,5/10",28,9 horas,Español,330.15
27,Hard Rock Cafe de Roma sin colas,Experiencias Gastronómicas,Si,"9,3/10",280,2 horas,,38.3
28,Tour privado: El corazón de Roma con recogida en el hotel,Visitas Guiadas,Si,"9,4/10",234,3 horas,Español,305.3
29,"Visita guiada privada a Ostia Antica, en grupo pequeño",Visitas Guiadas,Si,"9,5/10",126,5 horas,Español,279.1
30,"Vaticano, Coliseo y la Antigua Roma – Tour semiprivado",Visitas Guiadas,Si,"9,1/10",223,8 Horas,Español,164.0
31,Alquiler de bicicletas de 3 horas con entradas a los baños de Caracalla,Tours en Bicicleta,Si,"8,9/10",65,3 horas,Español,43.15
32,Castel Gandolfo: la residencia papal y los jardines con almuerzo,Excursiones de un día,Si,"9,3/10",345,5 horas 30 minutos,Español,45.0
33,Dos noches en Capri con transporte privado desde Roma,Excursiones de varios días,Si,"9,3/10",90,48 horas,Español,748.97
34,Descubriendo Roma – Tour de plazas y fuentes,Tours a pie,Si,"9,2/10",665,3 horas,Español,32.71
35,"Recorrido gastronómico privado por Trastevere, Campo de’ Fiori y gueto judío",Experiencias Gastronómicas,Si,"8,9/10",234,3:30 horas  (aprox.),Español,45.0
36,Lo mejor de Italia: viaje de 5 días,Excursiones de varios días,Si,"8,7/10",87,5 dias,Español,775.0
37,"Roma imperial: Coliseo, Foro Romano, Via Sacra y Monte Palatino",Visitas Guiadas,Si,"9,7/10",723,3 horas,,61.85
38,"Visita Coliseo subterráneo, Arena, Foro y Palatino",Visitas Guiadas,No,"9,8/10",430,2 horas,,70.0
39,"Entrada Coliseo, Foro Romano y Palatino con vídeo multimedia",Entradas y Atracciones,Si,"9,7/10",1121,3 horas,,36.7
40,"Tour Coliseo y Foro Romano, Palatino, Arena gladiadores y mazmorras",Visitas Guiadas,Si,"9,6/10",890,3 horas,Español,54.9
